gene_id	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13F-11A-42R-A12P-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-AR-A1AP-01A-11R-A12P-07	TCGA-AR-A1AS-01A-11R-A12P-07	TCGA-AR-A1AV-01A-21R-A12P-07	TCGA-AR-A1AW-01A-21R-A12P-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-BH-A0DD-11A-23R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-BH-A0DG-11A-43R-A12P-07
?|100130426	0	0	0	0	0	0	0	0	0	0	0
?|100133144	0	1.6345	2.051	13.3603	1.3507	13.1083	10.1362	21.7437	1.301	12.874	13.982
?|100134869	1.2048	4.652	0.4863	9.5816	0.4502	8.2906	6.8899	11.1695	0.8673	7.9712	15.7529
?|10357	77.4137	83.5204	62.772	81.3	121.9586	95.925	114.4798	108.0147	104.9436	87.0414	111.7469
?|10431	986.747	653.7943	749.3393	1103.9136	1216.5691	718.0202	894.4381	732.8431	722.4631	968.0526	514.7435
?|136542	0	0	0	0	0	0	0	0	0	0	0
?|155060	40.1606	192.1868	276.562	313.5403	113.9127	190.566	292.0923	170.1681	174.7615	148.0012	234.575
?|26823	0.4016	0.8981	0	1.3495	0.4502	0.2892	1.5134	0.3501	0	0.4169	1.9823
?|280660	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	0	0	0	0	0.7567	0	0.4337	0	0
?|388795	0	1.3471	0.4229	1.7994	0	0.8675	1.8918	1.7507	0.4337	0.4169	0.6608
?|390284	12.8514	3.5923	6.3432	5.848	4.5025	9.8319	1.5134	3.8515	1.7346	5.0029	4.6254
?|391343	0.4016	0.449	0	0.4498	3.1517	0	0.3784	0	0	0	0.3304
?|391714	0	0.449	0	0	0	0.2892	0	0.3501	0	0	1.3215
?|404770	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0
?|553137	2.8112	0	2.9601	0.4498	0	0.2892	0.3784	3.5014	0	0.4169	0.3304
?|57714	340.5622	521.3291	296.8601	2658.5695	370.1036	1058.0894	2269.3908	2721.6387	980.4857	1269.8916	1072.7678
?|645851	4.0161	8.5317	2.9601	5.3981	4.0522	17.6396	19.2963	12.9552	7.8057	9.5888	11.8939
?|652919	7.2129	0	0.8458	82.6901	26.1144	34.5824	52.1869	2.1359	28.4996	30.6383	0
?|653553	677.9116	204.3107	122.2117	1071.0751	408.8249	877.3553	82.8604	359.5938	199.4796	802.9584	42.9504
?|728045	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	1.3471	0	0	0	0	0	0	0	0	0
?|728788	0	0.449	0	0	0	0	0	0.7003	2.6019	0.8338	0
?|729884	0.8032	2.2452	0.4229	0	39.6218	161.3594	0.3784	4.2017	0	17.9269	1.3215
?|8225	391.5663	424.7867	543.8207	280.7018	371.0041	371.5892	445.3273	633.7535	688.6383	263.9006	295.0359
?|90288	19.2771	13.9201	172.957	74.224	169.2931	20.8206	66.9694	19.958	31.2229	5.4198	17.8409
A1BG|1	231.008	67.5258	212.2042	152.0468	71.4768	107.5931	80.1438	115.4937	20.9714	36.9252	60.2494
A1CF|29974	0	0	0	0	0	0	0	0	0	0	0
A2BP1|54715	0	0	0	0.8997	0	1.4459	1.5134	2.1008	0	0	1.6519
A2LD1|87769	45.249	112.7885	39.8055	82.0198	93.5254	76.1686	72.1945	72.5175	94.2281	79.8081	78.6586
A2M|2	13194.3494	30585.357	5225.8928	11859.1813	4301.6614	7459.5156	15558.0628	4012.2514	39317.7884	17200.1893	24069.2921
A2ML1|144568	0	9.8788	0.4229	1.7994	4.9527	0.5783	7.1888	0	6.0711	5.4198	4.9558
A4GALT|53947	97.5904	469.2411	467.7027	413.8552	137.3255	115.6698	246.311	501.4006	683.4345	220.5426	124.2257
A4GNT|51146	0	0.449	0	0	0	2.3134	0	0	0	0.4169	1.3215
AAA1|404744	0	0	0	0	0	0	0	0	0	0	0
AAAS|8086	912.8514	672.6538	481.6577	713.0004	778.9284	1135.0098	582.2928	622.549	619.6878	827.1388	580.4906
AACS|65985	1278.3133	1501.5716	1787.9268	1250.5623	1300.3152	1297.2366	414.6803	770.6583	691.2402	851.7362	1084.001
AACSL|729522	0	1.7961	0	1.3495	0	0.2892	0	0	0	0	0.3304
AADAC|13	0	208.352	0	3.1489	0	0.5783	1.1351	0	264.0937	1.6676	0
AADACL2|344752	0	0	0	0	0	0	0.3784	0	6.5048	0	0
AADACL3|126767	0	65.559	0	0.4498	0	0	0	0	13.4432	0	0
AADACL4|343066	0	1.3471	0	0	0	0	0	0	0	0.4169	0
AADAT|51166	73.494	86.2146	2.5373	15.7445	9.4552	37.8819	18.1612	23.8095	68.5169	77.9612	71.0333
AAGAB|79719	2887.1486	733.7225	1398.0336	2642.3752	2528.5907	1974.7724	1194.0976	2035.7143	622.2897	1557.5558	1130.2552
AAK1|22848	719.2771	1044.9035	691.8279	1223.1219	1048.1765	695.7538	1545.5921	1014.3557	1045.0997	1262.3873	1187.4122
AAMP|14	2422.0884	1655.1414	2327.5188	3038.6865	1779.8289	1834.812	1825.9554	1702.381	2107.5455	2032.4102	1785.083
AANAT|15	0.4016	0	0	0	1.801	0.2892	0.3784	0	0	0	0
AARS|16	4173.8956	3305.3435	2467.9142	3423.7517	2896.443	3284.7327	2688.6114	3720.5882	3291.8474	3543.6895	2311.0597
AARS2|57505	560.6305	345.7566	468.9714	238.8619	373.7055	481.4466	521.3545	552.1218	320.902	311.7279	454.5998
AARSD1|80755	701.2048	415.806	996.2998	207.3774	452.0486	622.8818	463.4885	277.3109	375.9757	394.8087	573.8829
AASDH|132949	236.5462	398.2937	277.8306	247.4134	323.2778	318.0919	466.137	373.9496	309.1934	284.329	563.6409
AASDHPPT|60496	796.3855	720.2515	979.8076	511.8803	672.2197	589.9159	733.2577	704.8319	613.6167	609.9315	1009.2806
AASS|10157	157.4297	519.533	45.6708	96.2663	170.6439	283.6801	267.4991	59.1737	584.9957	185.9395	908.2349
AATF|26574	1790.3614	725.6399	1049.5824	774.179	1266.0964	1399.8936	1475.2176	2109.5938	840.85	988.4809	845.1309
AATK|9625	35.743	53.8841	39.3276	439.946	36.0198	8.3861	28.3768	26.6106	32.5239	37.5214	40.968
ABAT|18	1834.1365	272.564	2056.0313	2302.744	8348.4917	3478.4796	2017.0261	770.3081	166.5221	1107.7157	673.3295
ABCA1|19	307.2289	1763.3229	217.782	494.8223	770.3737	2328.9302	1752.8415	690.8053	3461.7693	993.4713	1426.8902
ABCA10|10349	2.008	528.9627	2.5373	9.8965	0	2.8917	37.8358	3.8515	371.2056	50.4455	374.6593
ABCA11P|79963	102.0964	119.6632	126.2459	159.6671	96.0783	103.0039	163.095	67.5665	98.7467	77.6235	172.6935
ABCA12|26154	723.2932	9.8788	90.0729	1359.4242	696.5331	577.4814	1.1351	731.4426	6.9384	30.0171	14.2067
ABCA13|154664	0.8032	5.8374	0	1.3495	3.1517	0.2892	0.7567	1.0504	0.4337	3.3352	94.1604
ABCA17P|650655	10.0402	8.5317	117.1371	3.5987	9.9054	9.2536	3.0269	4.2017	3.0356	0.4169	6.6077
ABCA2|20	873.0924	1634.9349	1796.8073	1868.1961	1111.2112	1104.6465	846.3867	1450.9804	1784.4753	907.6014	1218.4687
ABCA3|21	2575.1004	1284.6879	16082.4611	1154.7458	4054.48	5755.7285	695.4219	1582.6331	751.0841	1579.2348	1356.901
ABCA4|24	638.1526	57.4764	1.2686	23.8417	19.3606	6.9402	2.2701	13.3053	10.4076	46.2764	44.2719
ABCA5|23461	89.1566	966.3224	367.9036	452.9915	18.0099	288.8853	197.8812	67.9272	988.7251	431.0794	1200.2973
ABCA6|23460	48.1928	1127.0768	8.4576	107.0625	11.7064	58.1241	451.381	69.3277	2100.6071	223.8778	581.1514
ABCA7|10347	538.1526	362.3709	905.804	397.211	176.0468	309.995	571.3205	332.6331	336.9471	270.988	174.1141
ABCA8|10351	31.3253	2976.6502	8.0347	195.2317	1.801	31.2308	399.1676	107.493	7999.5663	334.3575	1010.655
ABCA9|10350	22.8916	1022.9008	6.3432	63.8776	4.5025	25.4474	264.8505	67.9272	2160.0173	293.084	1105.8066
ABCB1|5243	55.8233	255.5007	14.3778	58.0297	1.3507	27.7607	234.9603	25.2101	141.3703	102.9754	635.3349
ABCB10|23456	1079.9197	410.8666	419.0718	439.0463	544.3494	1039.5822	580.7794	849.0896	433.6513	466.9332	523.3336
ABCB11|8647	1.6064	5.3884	1.6915	0.8997	0	0.8675	2.2701	0	56.3747	1.2507	1.9823
ABCB4|5244	19.2771	24.2479	10.5719	19.3432	15.7587	48.003	91.5626	17.1569	49.0026	33.7693	11.5636
ABCB5|340273	6.4257	32.3305	0	4.0486	0	2.0242	3.0269	0	31.2229	15.0086	71.6941
ABCB6|10058	494.8153	518.0242	1030.4007	501.5565	300.986	236.5823	334.9905	494.993	761.9558	419.4186	383.8242
ABCB7|22	550.2008	492.1419	272.3332	424.2015	527.24	522.8274	359.0617	545.8683	486.1232	395.2256	627.4056
ABCB8|11194	1221.2851	392.4562	1440.7443	1012.5956	624.0432	761.3964	816.8748	804.972	526.4527	698.7322	229.9496
ABCB9|23457	152.2169	139.5195	127.4257	319.0058	277.3525	258.9528	106.9277	122.3704	71.0624	188.6243	120.7235
ABCC1|4363	1297.5904	1290.9744	722.698	1804.7683	4035.1193	2300.9612	1560.7264	1416.3165	1450.1301	1598.8293	861.3199
ABCC10|89845	268.6747	391.5581	331.1132	280.2519	333.1833	372.7459	603.1025	382.0028	366.4354	472.353	379.2847
ABCC11|85320	1555.8233	5.8374	326.4616	721.5475	8614.588	787.1329	33.6739	101.1905	3.4692	5032.456	58.4786
ABCC12|94160	4.8193	0.8981	0.4229	2.6991	150.3827	12.4345	0	0	0	88.8007	1.3215
ABCC13|150000	0	1.3471	0.4229	85.9199	67.0869	4.6268	0	780.112	6.5048	27.0988	0
ABCC2|1244	5.6225	30.9834	0.4229	8.9969	3.1517	8.3861	33.6739	46.5686	22.9835	2.0845	9.2508
ABCC3|8714	5318.4739	678.9403	29.6014	372.0198	687.5281	427.1107	428.6795	272.0588	501.301	1127.7271	594.0365
ABCC4|10257	56.2249	131.1181	14.3778	971.2101	59.8829	84.4389	319.7124	39.2157	186.0364	262.6499	115.6356
ABCC5|10057	802.8112	860.7993	98.9534	1174.9888	263.3949	2227.2217	719.2584	839.2857	659.5837	1753.0841	922.1112
ABCC6|368	258.2329	558.599	85.8442	21.1426	7.6542	109.5971	89.2925	10.8543	927.1466	14.5917	75.9891
ABCC6P1|653190	6.8273	57.9255	0.8458	1.7994	0	3.7593	7.5672	0.3501	29.0546	0.8338	6.6077
ABCC6P2|730013	64.257	67.3552	33.8302	6.2978	7.204	7.8077	22.7015	5.2521	45.0997	2.0845	11.2332
ABCC8|6833	46.1847	38.617	2190.9293	191.1831	136.425	126.9476	172.9096	164.2157	2.6019	52.1131	381.267
ABCC9|10060	264.6586	956.4436	84.1527	137.6518	64.3854	236.2555	206.5834	65.1261	2304.8569	457.3444	479.0617
ABCD1|215	335.3414	389.762	174.6485	507.4224	297.6137	333.129	329.1714	251.4006	666.5221	546.9789	142.7273
ABCD2|225	3.2129	712.6179	4.6517	19.3432	0	3.7593	183.882	6.3025	1439.7225	22.5129	95.1516
ABCD3|5825	5059.4378	1125.7297	6739.4016	1676.1134	3215.6686	3118.7466	1038.2142	1389.3557	974.4146	1621.3422	2255.5546
ABCD4|5826	266.6667	756.6233	385.2416	264.5074	479.5137	338.6233	519.8638	302.521	828.2741	518.2125	593.7061
ABCE1|6059	1595.1807	1304.8945	1444.5502	1224.4714	1585.3219	1414.0631	2023.0798	1813.0252	1022.5499	1151.4906	1864.376
ABCF1|23	1788.3534	1289.1783	1584.9456	1052.1817	1695.1824	1905.3705	2122.588	1933.1232	1464.0069	1898.1669	1500.2891
ABCF2|10061	1577.1084	1042.2093	985.7279	1351.327	1589.3742	1599.1348	1370.7908	1586.4846	986.5568	1399.9658	1027.8351
ABCF3|55324	1150.2008	863.9425	820.8056	1321.6374	1381.3597	931.431	1105.5619	809.8739	874.2411	942.6214	770.7938
ABCG1|9619	1118.0723	548.7203	1771.0117	565.4521	381.3597	1556.337	1793.7949	514.7059	374.2411	572.4101	555.0508
ABCG2|9429	33.3333	179.1648	38.9047	39.1363	13.9577	56.389	37.8358	35.3641	171.7259	79.2119	147.0224
ABCG4|64137	3.2129	4.4903	1.2686	1.7994	1.3507	2.3134	0.3784	1.4006	6.5048	4.586	0.3304
ABCG5|64240	0	3.1432	1.6915	2.2492	0.9005	0	2.2701	0.7003	3.4692	0.4169	0.6608
ABCG8|64241	0	0	0	1.7994	0	0	0.3784	0	13.8768	0	0
ABHD1|84696	17.2691	46.6996	11.4177	7.6473	16.2089	2.8917	6.0537	19.6078	38.595	3.7521	24.7791
ABHD10|55347	679.5181	667.7144	826.303	434.0981	633.4984	534.3944	607.6428	367.6471	575.4553	494.4489	686.8754
ABHD11|83451	588.755	434.6655	591.6059	2241.5655	710.4908	445.6179	502.4593	1015.056	192.9748	937.6186	399.4383
ABHD12|26090	1751.8072	797.0364	9762.9771	1989.6536	1754.1648	5197.0435	1145.2894	1566.5266	802.255	2801.1823	607.5824
ABHD12B|145447	1.2048	12.573	340.4165	35.5376	0.4502	0.8675	68.4828	1.7507	17.3461	0	2.6431
ABHD13|84945	270.6827	404.5802	346.7597	383.2659	312.4719	375.6376	393.8706	195.7283	440.5898	418.5723	653.8366
ABHD14A|25864	642.506	373.7494	901.9981	154.7458	372.8546	126.0801	169.126	156.8873	351.6912	184.5178	158.2556
ABHD14B|84836	3051.8072	3479.5689	1653.0289	622.5821	2384.5115	1212.5085	1039.7276	987.395	3413.7034	1121.8904	2161.7246
ABHD15|116236	338.1526	785.3615	448.2503	256.8601	510.5808	505.477	411.2751	639.7059	1538.1613	391.4735	253.4071
ABHD2|11057	4925.3012	2853.1657	4146.7386	6321.6374	2542.0982	10451.6327	8917.518	7720.5882	2680.399	4450.874	4102.4201
ABHD3|171586	579.5181	213.7405	744.6876	152.4966	463.3048	512.4172	505.4862	436.9748	244.1457	698.7322	298.3398
ABHD4|63874	605.6225	1035.0247	541.7063	1307.6923	969.3832	747.8052	919.0314	546.5686	1857.3287	1718.8979	819.3607
ABHD5|51099	1238.1526	1327.3462	482.5034	755.7355	1096.8032	735.949	625.4257	1106.4426	2084.9957	828.8064	994.466
ABHD6|57406	58.6345	355.1863	230.0455	174.9888	81.9451	24.2907	125.9932	130.6022	755.8543	95.8881	170.4799
ABHD8|79575	469.4779	145.0382	526.9056	314.4399	310.2206	184.4933	269.7692	186.9748	163.9202	217.2073	161.8898
ABI1|10006	1066.2651	1333.6327	1222.8143	1660.8187	1254.7411	1398.6183	1947.0299	1438.0602	1158.7164	1200.8688	1800.902
ABI2|10152	971.8876	1411.3157	1000.9515	1553.7562	850.0675	1180.9885	1353.3863	1875	785.7762	1256.5506	2719.4185
ABI3|51225	141.7671	132.9142	148.4301	168.2411	85.5471	110.1755	326.9012	65.4762	166.9558	258.064	118.2787
ABI3BP|25890	114.8594	1307.5887	27.9099	546.5587	18.0099	144.8764	4376.8445	182.0728	4299.2194	747.51	1246.882
ABL1|25	1599.1968	3154.9169	1197.5896	1733.6932	2297.6137	2148.5663	2039.3492	2244.3978	3306.5915	3236.4308	2315.6851
ABL2|27	1211.245	1110.4625	775.9805	873.1444	883.3859	1565.8797	1463.1101	1485.6443	1013.4432	1407.4701	986.8671
ABLIM1|3983	1473.0924	7773.2375	1269.9017	1763.3828	1660.9635	2682.6715	3440.4086	2973.7395	8748.0486	2512.2674	6315.3548
ABLIM2|84448	126.1044	83.9695	211.8617	146.6487	16.6592	54.654	55.997	43.7675	131.3964	72.5414	34.3603
ABLIM3|22885	1623.6948	3092.5011	117.9829	859.6491	1266.5466	1190.5313	484.6765	357.493	4452.732	416.0708	1038.7379
ABO|28	0.8032	22.4517	0	0.4498	0.4502	1.1567	5.297	0.3501	22.5499	17.51	24.1183
ABP1|26	5.2209	8.9807	5.4974	720.1979	1.801	1.735	39.3492	4.2017	4.3365	57.5328	2.3127
ABR|29	2051.4056	2088.0108	2635.3737	3537.5619	916.2539	2002.5332	2496.0272	1376.0504	1982.6539	2720.7197	2103.9068
ABRA|137735	0.4016	1.7961	0	0	0.9005	0	0	0	1.7346	0	0
ABT1|29777	418.4739	480.916	463.8968	342.78	603.3318	548.564	651.5323	379.902	370.3382	553.2325	477.0794
ABTB1|80325	464.257	760.2155	878.3169	503.8237	302.1162	296.4038	456.678	380.9524	991.327	411.068	470.802
ABTB2|25841	20.0803	356.5335	122.2117	445.3441	30.6168	34.7009	169.126	185.2241	114.484	169.6802	134.7981
ACAA1|30	1257.0281	1210.5972	2179.0887	1453.4413	2104.0072	1181.2777	714.7181	460.7843	1661.752	748.7608	912.1996
ACAA2|10449	1124.8996	3651.5492	567.5019	790.3734	814.498	723.8037	777.9039	779.7619	4595.4033	1941.525	1331.4611
ACACA|31	2284.739	2982.9367	1883.0743	1212.7755	3560.5583	7174.9968	2923.9501	9321.0784	2641.3703	1457.9156	2711.4892
ACACB|32	1538.5542	8655.1414	136.1666	421.0526	60.7834	253.8952	503.216	256.3025	17509.974	931.365	2022.9619
ACAD10|80724	913.253	629.9955	461.7824	357.6248	672.67	1334.251	548.619	623.9496	535.1258	392.3073	644.9162
ACAD11|84129	191.1647	933.5429	190.7051	262.2582	335.4345	186.1879	374.196	267.8571	1404.987	261.8161	557.3437
ACAD8|27034	466.6667	608.4419	782.7466	312.6406	660.063	473.0894	903.5187	264.7059	475.7155	294.3347	716.9406
ACAD9|28976	1389.2811	1172.8693	793.3185	996.3743	1149.0185	630.4321	627.6882	565.4762	1603.2047	847.9799	705.8132
ACADL|33	0.8032	338.123	25.3727	0	0	0.8675	1.5134	1.0504	726.366	2.9183	23.1271
ACADM|34	537.3494	1378.0871	1897.0293	631.1291	982.8906	1375.3138	1130.5335	665.6162	1722.4631	690.3941	1255.1417
ACADS|35	367.4699	1000.449	262.607	149.7976	278.7033	1071.9697	270.9043	283.9636	1641.804	152.5871	514.4131
ACADSB|36	2178.3133	1215.0876	4227.5082	1415.2047	1303.4669	5142.9679	4273.5528	2231.4426	1145.2732	1849.8059	4710.0025
ACADVL|37	4826.751	7672.1643	7514.8959	7780.4498	2392.1657	3371.1786	4357.1661	1697.1289	9378.9766	2493.8611	4754.2281
ACAN|176	36.1446	4.9394	111.6397	53.0814	27.0149	131.8636	10.9724	19.2577	1.7346	109.229	2.9735
ACAP1|9744	12.4498	58.3745	23.6812	94.9168	7.204	14.4587	1138.8574	68.9776	30.3556	173.0154	104.7328
ACAP2|23527	1160.6426	1215.9856	699.8626	1051.7319	840.6123	1270.6326	1562.9966	976.5406	1650.477	961.799	1819.7737
ACAP3|116983	281.5261	546.502	546.3918	1390.9312	636.6592	642.5139	664.5062	372.549	471.379	2083.4726	290.3114
ACAT1|38	2801.2048	1924.1132	2292.8428	1102.5641	594.7771	1975.6399	631.8577	786.7647	3238.0746	845.8995	1032.1302
ACAT2|39	694.8273	327.5752	584.5311	689.3972	907.5191	511.1448	541.5134	651.1064	269.974	1227.4924	364.8996
ACBD3|64746	2420.0803	1029.6363	1219.1564	1978.8574	2160.7384	4013.7416	2176.6932	2662.8151	1305.2905	2388.4467	1529.6936
ACBD4|79777	316.8675	342.6134	383.9729	120.5578	147.231	176.1072	156.6402	120.7983	375.5421	78.795	215.0822
ACBD5|91452	1295.9839	787.1576	725.2352	844.8043	502.0261	1116.7918	928.8687	1359.2437	1059.8439	856.3222	879.8216
ACBD6|84320	569.4779	286.4841	414.4201	542.5101	662.7645	650.3534	527.8093	489.1457	296.6175	401.4792	319.1542
ACBD7|414149	32.1285	17.5123	41.0191	51.7319	2.7015	21.9773	51.0783	134.1036	3.4692	50.0286	126.8688
ACCN1|40	2.8112	2.6942	1.2686	26.5407	0	8.0969	140.3708	72.8291	0.4337	0.4169	3.9646
ACCN2|41	65.0602	167.9389	249.9207	22.4921	86.4475	80.6797	35.5656	109.2437	99.3062	91.3021	237.8789
ACCN3|9311	15.261	8.9807	16.4922	3.5987	13.5074	50.3164	59.4022	56.7227	4.7702	2.9183	4.295
ACCN4|55515	0.4016	2.2452	0	0	1.3507	1.1567	0	0	0.8673	0.4169	1.9823
ACCN5|51802	0	0	0.8458	0	0	0	0	0	0	0	0
ACCS|84680	59.8394	350.247	65.9689	269.0058	117.5146	166.5645	137.7223	214.986	347.3547	128.4066	300.3221
ACCSL|390110	0	0	0	0	0	0	0	0	0	0	0
ACD|65057	538.5542	350.696	228.7768	309.0418	519.5858	401.9525	228.9065	439.0756	239.3755	422.3244	282.8116
ACE|1636	421.2851	1179.6138	530.7115	391.363	339.4867	570.252	425.2743	177.8711	1084.562	859.6574	465.8462
ACE2|59272	0	31.4324	0.4229	16.1943	4.5025	1.735	17.4045	0	27.32	7.5043	45.5935
ACER1|125981	0	0.8981	0.8458	2.6991	0	0	6.4321	0	0	0.4169	0.3304
ACER2|340485	125.3012	185.9003	71.0435	60.2789	104.4575	102.3678	69.2395	172.619	338.6817	292.2502	237.5485
ACER3|55331	403.6145	796.1383	1161.2221	1532.6136	112.5619	248.9792	334.4684	747.1989	1211.1882	1068.1097	378.9543
ACHE|43	3.6145	36.3718	10.5719	14.8448	3.1517	1.1567	115.3992	1.7507	12.5759	16.6762	11.8939
ACIN1|22985	1617.6707	2700.943	2948.3032	3239.7661	3255.2904	3239.3324	4182.7469	2658.9636	2715.0911	3445.7169	3391.4264
ACLY|47	5172.6908	4555.9048	3340.7337	2693.2074	6068.8879	8473.6793	5231.9334	2894.6078	3176.0624	3262.6958	2807.9623
ACMSD|130013	159.8394	0.8981	34.2531	0	113.4624	102.9461	0.3784	81.5826	0.8673	0	2.6431
ACN9|57001	14.0562	122.1374	12.2635	93.1174	10.3557	41.6411	102.1566	203.7815	108.4128	121.3193	135.4588
ACO1|48	2473.0924	4434.6655	491.3839	720.6478	874.3809	1457.7285	659.0995	642.1569	11919.7745	1442.907	1066.4905
ACO2|50	4355.2369	3968.1365	5618.0569	1674.7773	2902.5799	1984.2053	2416.1786	2430.8333	4176.1015	2777.7815	1615.8421
ACOT1|641371	456.6265	1471.9353	874.511	462.4381	460.6033	232.2071	216.0424	468.8375	2348.222	638.281	403.0726
ACOT11|26027	207.6305	27.3911	4.4191	44.5119	34.2188	52.3406	22.115	82.9832	26.5091	101.4037	55.1978
ACOT12|134526	0.8032	1.3471	0	0	0	0	0	0	0	0	0
ACOT13|55856	787.008	646.978	943.2202	291.354	547.4606	635.1486	609.2471	658.687	713.9939	567.5657	501.082
ACOT2|10965	251.004	806.4661	401.7338	250.1125	306.6186	102.6569	162.6939	339.6359	1342.5846	351.4506	252.7463
ACOT4|122970	489.9598	212.8424	470.6629	150.2474	542.9986	350.4795	51.0783	380.9524	232.4371	133.8264	66.7383
ACOT6|641372	4.0161	13.022	5.4974	0.4498	10.8059	1.4459	0	5.9524	19.5143	0.8338	0.6608
ACOT7|11332	424.8996	198.9223	1235.6486	784.5254	594.7771	266.0405	368.1423	377.8011	196.4441	406.8989	158.9163
ACOT8|10005	665.5984	249.771	319.1162	375.578	379.5498	316.4668	284.9943	291.9853	230.3599	203.4745	194.7171
ACOT9|23597	148.996	629.0974	201.2898	499.7751	315.6236	294.6688	394.249	175.4202	637.4675	497.3672	338.6471
ACOX1|51	1246.988	3013.471	977.2703	1749.8875	1003.584	1362.9602	1685.0019	607.493	4598.8725	4629.7011	1703.6359
ACOX2|8309	644.5783	351.145	755.6824	3237.5169	870.7789	113.0672	31.7821	52.521	649.6097	150.9195	208.144
ACOX3|8310	435.743	502.9187	454.1706	949.6176	1308.8699	869.5476	620.8854	389.7059	433.2177	1063.9407	703.7251
ACOXL|55289	0	1.3471	0	8.547	0	1.1567	39.7276	1.4006	1.7346	7.5043	0
ACP1|52	1491.9679	1136.0575	915.9531	1882.1413	2035.5696	1255.3064	1560.7264	1364.8459	904.1631	1637.6015	1398.1994
ACP2|53	567.8715	1071.8455	1934.2425	1046.3293	538.9464	1208.7493	1349.6027	574.93	1042.4978	1434.9858	647.5593
ACP5|54	2003.6145	543.7809	3102.2307	1982.906	1242.2332	2469.8391	2254.6349	498.9496	1032.9575	1400.7996	772.4457
ACP6|51205	940.1606	322.8559	286.7111	372.4696	973.4354	401.9525	209.9886	112.395	188.2047	465.2656	164.5329
ACPL2|92370	253.012	297.2609	483.3492	402.6091	536.6952	311.7301	543.322	492.2969	253.2524	611.5991	479.7225
ACPP|55	18.0723	10.3278	8.0347	10.3464	79.6938	82.4147	8.7022	16.8067	10.8413	112.9812	27.4222
ACPT|93650	0	0.449	0	0	0	0	0	0	0	0	0.6608
ACR|49	2.4096	7.6336	5.4974	3.1489	3.602	0.5783	1.8918	0.7003	9.1067	0	5.6166
ACRBP|84519	19.2771	27.8401	168.3053	24.7413	2.7015	49.4488	76.4283	64.7759	31.6565	17.51	12.8851
ACRC|93953	3.2129	14.3691	8.4576	22.0423	13.9577	13.0129	32.5388	22.409	45.5334	12.5071	33.0387
ACRV1|56	1.2048	0	2.5373	0.4498	1.3507	0.2892	2.2701	2.451	0	0.4169	1.9823
ACSBG1|23205	1.6064	14.3691	2.5373	1.7994	0.9005	1.735	4.9187	1.7507	10.4076	6.2536	8.5901
ACSBG2|81616	0	4.0413	0	0.8997	1.3507	1.1567	4.5403	1.7507	2.1683	2.0845	7.9293
ACSF2|80221	2046.5863	1478.2218	949.4999	2624.8313	758.6673	644.2807	1106.3186	994.0476	1083.6947	3602.5106	733.46
ACSF3|197322	400	314.3242	337.8793	260.4588	461.0536	519.0682	319.7124	226.8908	297.9185	402.313	367.7212
ACSL1|2180	823.2932	35066.4571	653.346	1331.534	959.0275	1327.8891	1065.0776	1627.1008	37237.6409	3372.7586	2662.9223
ACSL3|2181	6420.8835	2409.9686	3728.9354	2568.1511	2940.5673	3436.8385	3682.5577	3522.7591	1937.9879	2236.6934	4330.3874
ACSL4|2182	404.0161	1862.1464	164.9223	533.5133	228.2756	447.6421	1780.5524	316.5266	2708.5863	710.4055	1188.7338
ACSL5|51703	99.5984	882.3529	78.2324	513.7202	108.9599	198.952	1366.2505	424.0196	1078.0572	390.2228	781.0358
ACSL6|23305	181.1245	5.8374	7.6118	4.9483	0.9005	10.6995	84.3738	10.5042	1.301	4.169	13.2155
ACSM1|116285	38.9558	23.3498	258.8011	14.395	99.955	79.523	17.0261	13.6555	1.301	74.209	144.3793
ACSM2A|123876	0	0	0.4229	0	0	0	0	0	1.301	0	4.6254
ACSM2B|348158	0	0.449	0.8458	0	0	0.2892	0	0	3.0356	0	1.3215
ACSM3|6296	10.245	64.9798	14.8049	7.1975	6.9248	22.1074	93.7041	36.9048	10.4857	22.542	211.9898
ACSM4|341392	0	0	0	0	0	0.5783	0	0.7003	0	0	0
ACSM5|54988	0.8032	158.5092	27.9099	12.5956	12.1567	24.5798	77.9417	7.7031	1325.2385	32.5186	54.5139
ACSS1|84532	455.8233	729.6812	1527.0113	1539.8111	230.977	543.0696	1277.7147	480.7423	409.3669	2234.192	1022.5489
ACSS2|55902	1017.2691	3129.322	1935.5112	896.9861	660.063	740.5758	558.4563	557.423	5777.5369	851.3193	1234.988
ACSS3|79611	351.004	249.6632	350.5656	327.9352	83.2958	888.6331	77.185	632.7031	1260.6245	260.1485	602.2962
ACTA1|58	12.0482	4.4903	0	2.2492	26.5646	1.735	4.9187	1.7507	0	27.5157	1.3215
ACTA2|59	4278.8313	16951.3606	3205.2521	6060.6883	5949.6758	6149.3702	1441.101	1592.8291	2715.6895	13254.9122	19724.262
